chb03 0 14 3.0 1.0 0.98 0.99 47.957
chb03 0 14 5.0 0.99 0.98 0.98 49.117
chb03 0 14 7.0 0.99 0.96 0.97 47.601
chb03 0 14 9.0 0.99 0.96 0.97 47.781
chb03 0 14 11.0 0.99 0.96 0.97 47.291
chb03 0 14 13.0 0.99 0.96 0.97 48.888
chb03 0 36 3.0 1.0 0.97 0.98 33.866
chb03 0 36 5.0 1.0 0.96 0.98 33.387
chb03 0 36 7.0 0.99 0.95 0.97 31.913
chb03 0 36 9.0 0.99 0.95 0.97 32.42
chb03 0 36 11.0 1.0 0.95 0.97 32.395
chb03 0 36 13.0 0.99 0.95 0.97 32.753
chb03 100 14 3.0 0.77 0.97 0.84 30.957
chb03 100 14 5.0 0.58 0.94 0.63 31.129
chb03 100 14 7.0 0.57 0.77 0.61 31.101
chb03 100 14 9.0 0.56 0.67 0.59 31.023
chb03 100 14 11.0 0.5 0.5 0.5 31.108
chb03 100 14 13.0 0.5 0.5 0.5 30.997
chb03 100 36 3.0 0.72 0.9 0.78 22.26
chb03 100 36 5.0 0.92 0.65 0.72 22.121
chb03 100 36 7.0 0.5 0.5 0.5 22.164
chb03 100 36 9.0 0.5 0.5 0.5 22.184
chb03 100 36 11.0 0.5 0.5 0.5 22.222
chb03 100 36 13.0 0.5 0.5 0.5 22.328
chb03 200 14 3.0 0.74 0.99 0.83 113.003
chb03 200 14 5.0 0.66 0.99 0.74 113.117
chb03 200 14 7.0 0.59 0.99 0.64 113.333
chb03 200 14 9.0 0.56 0.99 0.6 113.456
chb03 200 14 11.0 0.55 0.98 0.58 113.466
chb03 200 14 13.0 0.54 0.98 0.57 113.597
chb03 200 36 3.0 0.66 0.99 0.74 42.128
chb03 200 36 5.0 0.6 0.99 0.66 42.373
chb03 200 36 7.0 0.55 0.98 0.58 42.243
chb03 200 36 9.0 0.54 0.97 0.57 42.414
chb03 200 36 11.0 0.53 0.97 0.55 42.474
chb03 200 36 13.0 0.53 0.97 0.54 42.468
chb03 300 14 3.0 0.8 0.99 0.87 85.927
chb03 300 14 5.0 0.71 0.99 0.8 86.244
chb03 300 14 7.0 0.6 0.99 0.67 85.937
chb03 300 14 9.0 0.59 0.99 0.65 86.445
chb03 300 14 11.0 0.56 0.98 0.6 86.489
chb03 300 14 13.0 0.55 0.98 0.59 86.123
chb03 300 36 3.0 0.77 0.99 0.85 78.768
chb03 300 36 5.0 0.66 0.98 0.74 78.876
chb03 300 36 7.0 0.62 0.98 0.69 78.925
chb03 300 36 9.0 0.56 0.97 0.61 79.429
chb03 300 36 11.0 0.56 0.97 0.59 78.929
chb03 300 36 13.0 0.55 0.97 0.58 79.221
chb07 0 14 3.0 1.0 0.98 0.99 107.253
chb07 0 14 5.0 1.0 0.98 0.99 108.538
chb07 0 14 7.0 0.99 0.97 0.98 108.071
chb07 0 14 9.0 0.99 0.96 0.98 105.694
chb07 0 14 11.0 0.99 0.95 0.97 109.489
chb07 0 14 13.0 0.99 0.95 0.97 108.629
chb07 0 36 3.0 1.0 0.98 0.99 66.819
chb07 0 36 5.0 1.0 0.96 0.98 67.869
chb07 0 36 7.0 0.99 0.96 0.98 68.803
chb07 0 36 9.0 0.99 0.95 0.97 70.429
chb07 0 36 11.0 0.99 0.95 0.97 69.334
chb07 0 36 13.0 0.98 0.93 0.96 69.55
chb07 100 14 3.0 0.55 0.98 0.59 46.302
chb07 100 14 5.0 0.51 0.95 0.49 46.575
chb07 100 14 7.0 0.51 0.94 0.48 46.535
chb07 100 14 9.0 0.5 0.94 0.48 46.795
chb07 100 14 11.0 0.5 0.93 0.48 47.307
chb07 100 14 13.0 0.5 0.93 0.48 46.981
chb07 100 36 3.0 0.52 0.98 0.53 33.192
chb07 100 36 5.0 0.51 0.94 0.49 33.391
chb07 100 36 7.0 0.51 0.94 0.48 33.615
chb07 100 36 9.0 0.5 0.93 0.48 33.866
chb07 100 36 11.0 0.5 0.92 0.47 34.213
chb07 100 36 13.0 0.5 0.92 0.47 34.185
chb07 200 14 3.0 0.65 0.99 0.73 88.752
chb07 200 14 5.0 0.58 0.99 0.64 89.159
chb07 200 14 7.0 0.51 0.95 0.49 89.082
chb07 200 14 9.0 0.51 0.95 0.49 89.474
chb07 200 14 11.0 0.51 0.94 0.49 89.554
chb07 200 14 13.0 0.51 0.94 0.49 89.492
chb07 200 36 3.0 0.57 0.99 0.62 107.542
chb07 200 36 5.0 0.56 0.98 0.6 107.496
chb07 200 36 7.0 0.52 0.98 0.54 108.041
chb07 200 36 9.0 0.51 0.94 0.49 108.035
chb07 200 36 11.0 0.51 0.94 0.49 108.114
chb07 200 36 13.0 0.51 0.94 0.49 108.148
chb07 300 14 3.0 0.67 0.99 0.76 213.201
chb07 300 14 5.0 0.61 0.99 0.68 213.302
chb07 300 14 7.0 0.51 0.95 0.49 213.311
chb07 300 14 9.0 0.51 0.95 0.49 213.75
chb07 300 14 11.0 0.51 0.95 0.49 213.677
chb07 300 14 13.0 0.51 0.95 0.49 213.611
chb07 300 36 3.0 0.71 0.99 0.79 148.032
